year,month,total_revenue,total_orders
2003,1,129753.6,5
2003,2,140836.19000000003,3
2003,3,174504.9,6
2003,4,201609.55000000002,7
2003,5,192673.11,6
2003,6,168082.55999999997,6
2003,7,187731.87999999998,6
2003,8,197809.3,5
2003,9,263973.36,8
2003,10,568290.97,17
2003,11,1029837.6600000001,28
2003,12,261876.46000000005,7
2004,1,316577.4200000001,8
2004,2,311419.5299999999,10
2004,3,205733.72999999992,7
2004,4,206148.12000000008,10
2004,5,273438.3900000001,8
2004,6,286674.22,10
2004,7,327144.0899999998,10
2004,8,461501.2700000001,12
2004,9,320750.91000000003,12
2004,10,552924.25,13
2004,11,1089048.0100000005,33
2004,12,372802.6599999999,11
2005,1,339543.42,12
2005,2,358186.18000000005,12
2005,3,374262.7599999999,12
2005,4,261633.29000000007,9
2005,5,457861.05999999965,14
